epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,62516,1.02151,0.76641,1.25246,0.66986,0.64286,0.67798,0.35983,1.67228,0.99061,1.1999,0.000489228,0.000489228,0.000489228
95,63201.9,1.0467,0.77879,1.27208,0.62258,0.7209,0.69414,0.3622,1.68278,1.00806,1.20858,0.000479123,0.000479123,0.000479123
96,63823,1.00003,0.73693,1.24855,0.57956,0.72251,0.6759,0.35614,1.67717,0.97563,1.19756,0.000469018,0.000469018,0.000469018
97,64599.6,1.04895,0.76298,1.27518,0.59649,0.72079,0.67971,0.36585,1.66901,0.99137,1.18678,0.000458913,0.000458913,0.000458913
98,65247.3,1.00418,0.74382,1.25448,0.62478,0.67691,0.68702,0.36824,1.66764,0.97387,1.18968,0.000448808,0.000448808,0.000448808
99,65979.6,1.00671,0.73173,1.2497,0.63869,0.66048,0.68822,0.37023,1.65228,1.00761,1.19108,0.000438703,0.000438703,0.000438703
100,66644,1.01935,0.74455,1.26546,0.59445,0.69966,0.68706,0.37006,1.63777,0.98211,1.19196,0.000428598,0.000428598,0.000428598
101,67383.8,0.99576,0.74213,1.25258,0.62895,0.67773,0.68274,0.36392,1.66822,1.01332,1.18049,0.000418493,0.000418493,0.000418493
102,68041.5,1.00197,0.73574,1.23909,0.62282,0.68798,0.67052,0.35836,1.66027,1.01636,1.19754,0.000408388,0.000408388,0.000408388
103,68736.2,1.00502,0.73135,1.26259,0.65967,0.66693,0.68268,0.3608,1.66944,1.01242,1.18797,0.000398283,0.000398283,0.000398283
104,69353.6,0.99989,0.7351,1.24946,0.58642,0.72734,0.68304,0.36207,1.6843,0.99658,1.20605,0.000388178,0.000388178,0.000388178
105,70098.4,0.98524,0.71299,1.25412,0.63047,0.70971,0.69929,0.37339,1.66204,0.99112,1.18125,0.000378073,0.000378073,0.000378073
106,70774.6,0.99005,0.69419,1.24908,0.61381,0.71775,0.68635,0.36568,1.66465,1.02786,1.18965,0.000367967,0.000367967,0.000367967
107,71468.8,1.00593,0.73097,1.23472,0.60679,0.72433,0.69267,0.37014,1.64363,1.0033,1.17689,0.000357862,0.000357862,0.000357862
108,72102.9,0.9711,0.6928,1.23417,0.63847,0.70555,0.68999,0.36814,1.65368,1.00533,1.16871,0.000347757,0.000347757,0.000347757
109,72778.8,0.97082,0.68735,1.22614,0.60236,0.72337,0.68271,0.36892,1.68674,0.98249,1.18724,0.000337652,0.000337652,0.000337652
110,73366.2,0.96427,0.68434,1.22872,0.64029,0.69514,0.68476,0.36914,1.66642,1.01719,1.1963,0.000327547,0.000327547,0.000327547
111,74062.6,0.96861,0.6938,1.2308,0.63343,0.7407,0.70588,0.37733,1.66631,0.99071,1.17952,0.000317442,0.000317442,0.000317442
112,74728.6,0.97125,0.67173,1.22356,0.62822,0.70261,0.6929,0.37097,1.65652,1.00644,1.1873,0.000307337,0.000307337,0.000307337
113,75420.3,0.96043,0.68374,1.21401,0.57971,0.74752,0.68539,0.37024,1.664,1.00682,1.19371,0.000297232,0.000297232,0.000297232
114,76066.9,0.96478,0.68411,1.22833,0.65575,0.6734,0.68398,0.36141,1.67325,1.05294,1.18762,0.000287127,0.000287127,0.000287127
115,76758.6,0.98239,0.6862,1.22568,0.64798,0.69617,0.69116,0.36929,1.68341,1.01786,1.19612,0.000277022,0.000277022,0.000277022
116,77414.2,0.98353,0.68248,1.22069,0.61913,0.73679,0.69199,0.37149,1.66995,1.01466,1.21528,0.000266917,0.000266917,0.000266917
117,78151.1,0.95982,0.67621,1.21037,0.62114,0.70981,0.6892,0.36929,1.66244,1.01686,1.18199,0.000256812,0.000256812,0.000256812
118,78794.9,0.94661,0.6512,1.21346,0.65265,0.66885,0.68214,0.3628,1.6743,1.00594,1.17979,0.000246707,0.000246707,0.000246707
119,79511.8,0.95167,0.66218,1.22077,0.64723,0.66494,0.67046,0.36327,1.67084,1.01885,1.19471,0.000236602,0.000236602,0.000236602
120,80132.9,0.94652,0.674,1.22926,0.60042,0.7117,0.68443,0.36888,1.6667,1.00983,1.17027,0.000226497,0.000226497,0.000226497
121,80871.3,0.93798,0.65867,1.20351,0.61527,0.72067,0.68123,0.37111,1.66059,1.02308,1.17619,0.000216391,0.000216391,0.000216391
122,81507.7,0.93716,0.65718,1.20922,0.61548,0.74074,0.69233,0.3726,1.66006,0.99424,1.1799,0.000206286,0.000206286,0.000206286
123,82230.7,0.92871,0.64531,1.20623,0.61587,0.7251,0.6928,0.37001,1.65476,1.00147,1.17564,0.000196181,0.000196181,0.000196181
124,82962,0.92959,0.63745,1.18738,0.60303,0.73587,0.694,0.37522,1.65624,0.99563,1.18412,0.000186076,0.000186076,0.000186076
125,83714.1,0.94014,0.64488,1.19922,0.61753,0.72936,0.6901,0.37384,1.66274,0.9964,1.17019,0.000175971,0.000175971,0.000175971
126,84454.8,0.9017,0.62871,1.2071,0.64685,0.68952,0.67825,0.36459,1.66048,1.01057,1.17316,0.000165866,0.000165866,0.000165866
127,85059.6,0.92303,0.62384,1.18323,0.64918,0.6998,0.67673,0.36623,1.66097,1.0087,1.18022,0.000155761,0.000155761,0.000155761
128,85668.2,0.92109,0.62106,1.1922,0.65663,0.69179,0.69395,0.37434,1.66954,0.99347,1.19322,0.000145656,0.000145656,0.000145656
129,86266.2,0.92151,0.62753,1.1831,0.64867,0.69395,0.6838,0.36568,1.67999,0.99539,1.20938,0.000135551,0.000135551,0.000135551
130,86929.5,0.91006,0.63005,1.19985,0.62994,0.71436,0.69058,0.37176,1.66701,0.98693,1.18654,0.000125446,0.000125446,0.000125446
131,87642.7,1.28192,0.61575,1.01019,0.58509,0.75177,0.67832,0.36381,1.67034,0.98322,1.20436,0.000115341,0.000115341,0.000115341
132,88302.7,1.26371,0.59798,1.01206,0.63919,0.72367,0.69576,0.3751,1.66643,0.97821,1.20434,0.000105236,0.000105236,0.000105236
133,88990.1,1.24463,0.57855,1.00186,0.66498,0.687,0.70189,0.37685,1.67065,0.98423,1.21143,9.51306e-05,9.51306e-05,9.51306e-05
134,89678.5,1.23552,0.57581,0.99627,0.67269,0.69339,0.69839,0.37415,1.67345,0.99453,1.21153,8.50255e-05,8.50255e-05,8.50255e-05
135,90308.3,1.23025,0.56622,0.98882,0.64152,0.71445,0.70191,0.37862,1.66362,0.98889,1.20089,7.49204e-05,7.49204e-05,7.49204e-05
136,90964.1,1.21037,0.55722,0.99504,0.64622,0.72322,0.70049,0.37711,1.66521,0.98112,1.20815,6.48154e-05,6.48154e-05,6.48154e-05
137,91672.3,1.25534,0.57964,0.9852,0.6489,0.72017,0.70067,0.37771,1.66481,0.98075,1.20294,5.47103e-05,5.47103e-05,5.47103e-05
138,92401.5,1.24756,0.56581,0.99055,0.64895,0.71656,0.69972,0.37117,1.67017,0.98459,1.20669,4.46052e-05,4.46052e-05,4.46052e-05
139,93098.6,1.21812,0.55021,0.97438,0.65864,0.70665,0.70136,0.37406,1.66852,0.98389,1.20476,3.45001e-05,3.45001e-05,3.45001e-05
140,93793.2,1.1929,0.5461,0.9805,0.65353,0.71849,0.70345,0.37567,1.66742,0.98293,1.20207,2.43951e-05,2.43951e-05,2.43951e-05
